Price,Instance,Region
9.7391,p3dn.24xlarge,eu-ireland
9.6,x1e.32xlarge,eu-ireland
9.3636,p3dn.24xlarge,us-west-2
9.3636,p3dn.24xlarge,us-east
9.1752,p3.16xlarge,eu-central-1
8.6136,p3.16xlarge,eu-west-2
8.4715,p2.16xlarge,eu-central-1
8.2464,p2.16xlarge,ap-south-1
8.2464,p2.16xlarge,apac-sin
8.0784,p3.16xlarge,ca-central-1
8.0064,x1e.32xlarge,us-west-2
8.0064,x1e.32xlarge,us-east-2
8.0064,x1e.32xlarge,us-east
7.932,p3.16xlarge,eu-ireland
7.803,x1.32xlarge,sa-east-1
7.7328,p3.16xlarge,us-east-2
7.4016,p2.16xlarge,apac-tokyo
7.4016,p2.16xlarge,apac-syd
7.344,p3.16xlarge,us-west-2
7.344,p3.16xlarge,us-east
7.032,p2.16xlarge,ap-northeast-2
6.3828,x1.32xlarge,ap-east-1
6.288,r5ad.24xlarge,us-west-2
5.9772,p3.8xlarge,ap-northeast-2
5.8032,x1e.16xlarge,apac-tokyo
5.8032,x1e.16xlarge,apac-syd
5.8032,x1e.16xlarge,apac-sin
5.8023,x1.32xlarge,ap-northeast-2
5.8023,x1.32xlarge,apac-tokyo
5.8023,x1.32xlarge,apac-syd
5.8023,x1.32xlarge,apac-sin
5.6022,x1.32xlarge,eu-central-1
5.6016,x1e.16xlarge,eu-central-1
5.0808,p3.8xlarge,apac-syd
5.0808,p3.8xlarge,apac-sin
5.0418,x1.32xlarge,eu-west-3
5.0418,x1.32xlarge,eu-west-2
5.0328,p3.8xlarge,apac-tokyo
4.944,m5ad.24xlarge,us-east
4.8,x1e.16xlarge,eu-ireland
4.8018,x1.32xlarge,eu-ireland
4.6656,p2.16xlarge,eu-ireland
4.5876,p3.8xlarge,eu-central-1
4.4016,x1.32xlarge,ca-central-1
4.356,f1.16xlarge,eu-ireland
4.32,p2.16xlarge,us-west-2
4.32,p2.16xlarge,us-east-2
4.32,p2.16xlarge,us-east
4.3068,p3.8xlarge,eu-west-2
4.1286,x1.32xlarge,ap-south-1
4.1232,p2.8xlarge,ap-south-1
4.1232,p2.8xlarge,apac-sin
4.0392,p3.8xlarge,ca-central-1
4.0032,x1e.16xlarge,us-west-2
4.0032,x1e.16xlarge,us-east-2
4.0032,x1e.16xlarge,us-east
4.0014,x1.32xlarge,us-west-2
4.0014,x1.32xlarge,us-east-2
4.0014,x1.32xlarge,us-east
3.96,f1.16xlarge,us-west-2
3.96,f1.16xlarge,us-east
3.966,p3.8xlarge,eu-ireland
3.9015,x1.16xlarge,sa-east-1
3.888,i3en.24xlarge,eu-central-1
3.8304,i3en.24xlarge,apac-tokyo
3.7569,p2.8xlarge,eu-central-1
3.7008,p2.8xlarge,apac-tokyo
3.7008,p2.8xlarge,apac-syd
3.6,i3en.24xlarge,eu-ireland
3.672,p3.8xlarge,us-west-2
3.672,p3.8xlarge,us-east-2
3.672,p3.8xlarge,us-east
36.3319,p3dn.24xlarge,apac-tokyo
3.516,p2.8xlarge,ap-northeast-2
3.3632,r5d.16xlarge,ap-east-1
3.3318,r5.16xlarge,ap-east-1
3.2544,i3en.24xlarge,us-west-2
3.2544,i3en.24xlarge,us-east-2
3.2544,i3en.24xlarge,us-east
3.1914,x1.16xlarge,ap-east-1
3.144,r5ad.12xlarge,us-west-2
3.096,m5ad.12xlarge,apac-sin
2.9016,x1e.8xlarge,ap-northeast-2
2.9016,x1e.8xlarge,apac-tokyo
2.9016,x1e.8xlarge,apac-syd
2.9016,x1e.8xlarge,apac-sin
2.9013,x1.16xlarge,ap-northeast-2
2.9013,x1.16xlarge,apac-tokyo
2.9013,x1.16xlarge,apac-syd
2.9013,x1.16xlarge,apac-sin
2.897,r5d.16xlarge,eu-north-1
2.8011,x1.16xlarge,eu-central-1
2.8008,x1e.8xlarge,eu-central-1
2.7456,i3.16xlarge,sa-east-1
2.574,r5.16xlarge,eu-north-1
2.5307,r5.16xlarge,ap-northeast-3
2.5209,x1.16xlarge,eu-west-3
2.5209,x1.16xlarge,eu-west-2
2.4,x1e.8xlarge,eu-ireland
2.4956,r5d.16xlarge,us-west
2.4539,m5d.16xlarge,apac-sin
2.442,i2.8xlarge,apac-syd
2.442,i2.8xlarge,apac-sin
2.4306,i2.8xlarge,eu-central-1
2.4012,i2.8xlarge,ap-northeast-2
2.4012,i2.8xlarge,apac-tokyo
2.4009,x1.16xlarge,eu-ireland
2.3328,p2.8xlarge,eu-ireland
2.3199,i2.8xlarge,ap-south-1
2.2968,d2.8xlarge,ap-east-1
2.2506,i2.8xlarge,us-west
2.2506,i2.8xlarge,eu-ireland
2.2008,x1.16xlarge,ca-central-1
2.16,p2.8xlarge,us-west-2
2.16,p2.8xlarge,us-east-2
2.16,p2.8xlarge,us-east
2.1048,g3.16xlarge,apac-syd
2.088,d2.8xlarge,apac-syd
2.088,d2.8xlarge,apac-sin
2.0643,x1.16xlarge,ap-south-1
2.0559,m5.24xlarge,sa-east-1
2.048,c3.8xlarge,ap-northeast-3
2.046,i2.8xlarge,us-west-2
2.046,i2.8xlarge,us-east-2
2.046,i2.8xlarge,us-east
2.0256,d2.8xlarge,ap-northeast-3
2.0256,d2.8xlarge,ap-northeast-2
2.0256,d2.8xlarge,apac-tokyo
2.004,g3.16xlarge,apac-sin
2.0016,x1e.8xlarge,us-west-2
2.0016,x1e.8xlarge,us-east-2
2.0016,x1e.8xlarge,us-east
2.0007,x1.16xlarge,us-west-2
2.0007,x1.16xlarge,us-east-2
2.0007,x1.16xlarge,us-east
1.9836,d2.8xlarge,ap-south-1
1.9776,i3.16xlarge,ap-east-1
1.9639,m5.16xlarge,eu-north-1
1.944,i3en.12xlarge,eu-central-1
19.344,x1e.16xlarge,ap-northeast-2
1.9152,i3en.12xlarge,apac-tokyo
1.9056,d2.8xlarge,eu-central-1
1.8,i3en.12xlarge,eu-ireland
1.896,g3.16xlarge,apac-tokyo
1.875,d2.8xlarge,us-west
1.8528,d2.8xlarge,eu-west-3
1.8522,d2.8xlarge,eu-west-2
1.8408,g3.16xlarge,us-west
1.8216,d2.8xlarge,ca-central-1
1.8192,r5d.24xlarge,apac-syd
1.8192,r5a.24xlarge,apac-syd
1.8192,r5.24xlarge,apac-syd
1.8139,r5d.metal,eu-ireland
1.8139,r5d.24xlarge,eu-ireland
1.8139,r5a.24xlarge,eu-ireland
1.8139,r5.24xlarge,eu-ireland
1.7964,r5.24xlarge,ap-east-1
1.7952,i3.16xlarge,apac-syd
1.7952,i3.16xlarge,apac-sin
1.7856,i3.metal,eu-central-1
1.7856,i3.16xlarge,eu-central-1
1.7806,m5.24xlarge,ap-east-1
1.7772,m5d.24xlarge,ap-east-1
1.764,d2.8xlarge,eu-ireland
1.7568,i3.metal,apac-tokyo
1.7568,i3.16xlarge,ap-northeast-3
1.7568,i3.16xlarge,ap-northeast-2
1.7568,i3.16xlarge,apac-tokyo
1.7565,r5.metal,apac-tokyo
1.7565,r5d.24xlarge,ap-northeast-3
1.7565,r5d.24xlarge,apac-tokyo
